COUNTY|MUNICIPALITY|W/P|CG|SS|SR|CC|D|G|R|U|AL|L|S|TOTAL|
AND|POLAND|1-1|2|20|66|6|0|0|0|0|0|0|0|0|
AND|SABATTUS|1-1|2|22|57|4|0|0|0|0|0|0|0|0|
AND|TURNER|1-1|2|22|75|7|0|0|1|1|0|0|0|2|
AND|WALES|1-1|2|22|82|4|32|10|27|74|0|3|0|146|
ARO|ALLAGASH|1-1|2|1|151|3|0|0|0|0|0|0|0|0|
ARO|AMITY|1-1|2|2|144|1|0|0|0|0|0|0|0|0|
ARO|ASHLAND|1-1|2|1|151|2|0|0|0|0|0|0|0|0|
ARO|BENEDICTA TWP|1-1|2|2|144|1|0|0|0|0|0|0|0|0|
ARO|BLAINE|1-1|2|2|146|1|0|0|0|0|0|0|0|0|
ARO|BRIDGEWATER|1-1|2|2|145|1|0|0|0|0|0|0|0|0|
ARO|CARIBOU|1-1|2|1|149|2|85|9|73|144|0|0|0|311|
ARO|CARY PLT|1-1|2|2|144|1|0|0|0|0|0|0|0|0|
ARO|CASTLE HILL|1-1|2|1|146|2|0|0|0|0|0|0|0|0|
ARO|CASWELL|1-1|2|1|148|3|0|0|0|0|0|0|0|0|
ARO|CHAPMAN|1-1|2|2|146|2|0|0|0|0|0|0|0|0|
ARO|CONNOR TWP|1-1|2|1|148|3|1|1|3|1|0|0|0|6|
ARO|CROSS LAKE TWP (T17 R5)|1-1|2|1|150|3|0|0|0|0|0|0|0|0|
ARO|CRYSTAL|1-1|2|2|145|1|0|0|0|0|0|0|0|0|
ARO|CYR PLT|1-1|2|1|148|3|0|0|0|0|0|0|0|0|
ARO|DYER BROOK|1-1|2|2|145|1|0|0|0|0|0|0|0|0|
ARO|EAGLE LAKE|1-1|2|1|151|3|0|0|0|0|0|0|0|0|
ARO|EASTON|1-1|2|2|148|1|0|0|0|0|0|0|0|0|
ARO|FORT FAIRFIELD|1-1|2|2|148|1|0|0|0|0|0|0|0|0|
ARO|FORT KENT|1-1|2|1|151|3|0|0|0|0|0|0|0|0|
ARO|FORT KENT|1-2|2|1|151|3|0|0|0|0|0|0|0|0|
ARO|FORT KENT|1-3|2|1|151|3|0|0|0|0|0|0|0|0|
ARO|FORT KENT|1-4|2|1|151|3|0|0|0|0|0|0|0|0|
ARO|FORT KENT|2-1|2|1|151|2|0|0|0|0|0|0|0|0|
ARO|FRENCHVILLE|1-1|2|1|150|3|0|0|0|0|0|0|0|0|
ARO|GARFIELD PLT|1-1|2|1|151|2|0|0|0|0|0|0|0|0|
ARO|GLENWOOD PLT|1-1|2|2|144|1|0|0|0|0|0|0|0|0|
ARO|GRAND ISLE|1-1|2|1|150|3|0|0|0|0|0|0|0|0|
ARO|HAMLIN|1-1|2|1|148|3|0|0|0|0|0|0|0|0|
ARO|HAMMOND|1-1|2|2|145|1|0|0|0|0|0|0|0|0|
ARO|HAYNESVILLE|1-1|2|2|144|1|0|0|0|0|0|0|0|0|
ARO|HERSEY|1-1|2|2|145|1|0|0|0|0|0|0|0|0|
ARO|HODGDON|1-1|2|2|144|1|0|0|0|0|0|0|0|0|
ARO|HOULTON|1-1|2|2|144|1|18|2|16|26|0|0|0|62|
ARO|ISLAND FALLS|1-1|2|2|145|1|1|0|0|1|0|0|0|2|
ARO|LIMESTONE|1-1|2|1|148|3|1|0|0|0|0|0|0|1|
ARO|LINNEUS|1-1|2|2|145|1|0|0|0|0|0|0|0|0|
ARO|LITTLETON|1-1|2|2|145|1|0|0|0|0|0|0|0|0|
ARO|LUDLOW|1-1|2|2|145|1|0|0|0|0|0|0|0|0|
ARO|MACWAHOC PLT|1-1|2|2|144|1|0|0|0|0|0|0|0|0|
ARO|MADAWASKA|1-1|2|1|150|3|2|0|0|1|0|0|0|3|
ARO|MADAWASKA LAKE|1-1|2|1|150|3|0|0|0|0|0|0|0|0|
ARO|MAPLETON|1-1|2|1|146|2|0|0|0|0|0|0|0|0|
ARO|MAPLETON|1-2|2|1|146|2|0|0|0|0|0|0|0|0|
ARO|MAPLETON|1-3|2|1|146|2|0|0|0|1|0|0|0|1|
ARO|MARS HILL|1-1|2|2|146|1|0|0|1|0|0|0|0|1|
ARO|MASARDIS|1-1|2|1|151|2|0|0|0|0|0|0|0|0|
ARO|MERRILL|1-1|2|2|145|1|0|0|0|0|0|0|0|0|
ARO|MONTICELLO|1-1|2|2|145|1|0|0|0|0|0|0|0|0|
ARO|MORO PLT|1-1|2|2|145|1|0|0|0|0|0|0|0|0|
ARO|NASHVILLE PLT|1-1|2|1|151|3|0|0|0|0|0|0|0|0|
ARO|NEW CANADA|1-1|2|1|151|3|0|0|0|0|0|0|0|0|
ARO|NEW LIMERICK|1-1|2|2|145|1|0|0|0|0|0|0|0|0|
ARO|NEW SWEDEN|1-1|2|1|149|3|0|0|0|0|0|0|0|0|
ARO|OAKFIELD|1-1|2|2|145|1|0|0|0|0|0|0|0|0|
ARO|ORIENT|1-1|2|2|144|1|0|1|0|2|0|0|0|3|
ARO|OXBOW NORTH TWP|1-1|2|1|151|1|3|0|5|1|0|0|0|9|
ARO|PERHAM|1-1|2|1|146|3|0|0|0|0|0|0|0|0|
ARO|PORTAGE LAKE|1-1|2|1|151|3|4|0|5|10|0|0|0|19|
ARO|PRESQUE ISLE|1-10|2|2|147|2|0|0|0|0|0|0|0|0|
ARO|PRESQUE ISLE|1-11|2|2|147|2|0|0|0|0|0|0|0|0|
ARO|PRESQUE ISLE|1-12|2|2|147|2|0|0|0|0|0|0|0|0|
ARO|PRESQUE ISLE|1-13|2|2|147|2|0|0|0|0|0|0|0|0|
ARO|PRESQUE ISLE|1-14|2|2|147|2|0|0|0|0|0|0|0|0|
ARO|PRESQUE ISLE|1-15|2|2|147|2|0|0|0|0|0|0|0|0|
ARO|PRESQUE ISLE|1-16|2|2|147|2|0|0|0|0|0|0|0|0|
ARO|PRESQUE ISLE|1-3|2|2|147|2|0|0|0|0|0|0|0|0|
ARO|PRESQUE ISLE|1-4|2|2|147|2|0|0|0|0|0|0|0|0|
ARO|PRESQUE ISLE|1-4|2|2|148|2|0|0|0|0|0|0|0|0|
ARO|PRESQUE ISLE|1-5|2|2|147|2|0|0|0|0|0|0|0|0|
ARO|PRESQUE ISLE|1-5|2|2|148|2|0|0|0|0|0|0|0|0|
ARO|PRESQUE ISLE|1-6|2|2|147|2|0|0|0|0|0|0|0|0|
ARO|PRESQUE ISLE|1-7|2|2|147|2|0|0|0|0|0|0|0|0|
ARO|PRESQUE ISLE|1-8|2|2|147|2|0|0|0|0|0|0|0|0|
ARO|PRESQUE ISLE|1-9|2|2|147|2|0|0|0|0|0|0|0|0|
ARO|PRESQUE ISLE|2-17|2|2|147|2|0|0|0|0|0|0|0|0|
ARO|PRESQUE ISLE|2-4|2|2|147|2|0|0|0|0|0|0|0|0|
ARO|PRESQUE ISLE|2-4|2|2|148|2|0|0|0|0|0|0|0|0|
ARO|PRESQUE ISLE|2-5|2|2|147|2|0|0|0|0|0|0|0|0|
ARO|REED PLT|1-1|2|2|144|1|0|0|0|0|0|0|0|0|
ARO|SAINT AGATHA|1-1|2|1|150|3|0|0|0|0|0|0|0|0|
ARO|SAINT FRANCIS|1-1|2|1|151|3|0|0|0|0|0|0|0|0|
ARO|SAINT JOHN PLT|1-1|2|1|151|3|0|0|0|0|0|0|0|0|
ARO|SHERMAN|1-1|2|2|145|1|0|0|0|0|0|0|0|0|
ARO|SILVER RIDGE TWP|1-1|2|2|144|1|0|0|0|0|0|0|0|0|
ARO|SINCLAIR|1-1|2|1|150|3|0|0|0|0|0|0|0|0|
ARO|SMYRNA|1-1|2|2|145|1|0|0|0|0|0|0|0|0|
ARO|STOCKHOLM|1-1|2|1|148|3|0|0|0|0|0|0|0|0|
ARO|VAN BUREN|1-1|2|1|150|3|0|0|0|0|0|0|0|0|
ARO|WADE|1-1|2|1|146|3|0|0|0|0|0|0|0|0|
ARO|WALLAGRASS|1-1|2|1|151|3|0|0|0|0|0|0|0|0|
ARO|WASHBURN|1-1|2|1|146|2|8|0|2|13|0|0|0|23|
ARO|WESTFIELD|1-1|2|2|146|2|0|0|0|0|0|0|0|0|
ARO|WESTMANLAND|1-1|2|1|149|3|0|0|0|0|0|0|0|0|
ARO|WESTON|1-1|2|2|144|1|3|0|2|1|0|0|0|6|
ARO|WINTERVILLE PLT|1-1|2|1|151|3|0|0|0|0|0|0|0|0|
ARO|WOODLAND|1-1|2|1|146|3|0|0|0|0|0|0|0|0|
CUM|BALDWIN|1-1|1|26|68|1|0|0|0|0|0|0|0|0|
CUM|BRIDGTON|1-1|1|19|69|1|0|0|0|1|0|0|0|1|
CUM|BRUNSWICK|1-1|1|24|50|3|0|0|0|0|0|0|0|0|
CUM|BRUNSWICK|1-1|1|24|51|3|1|0|0|0|0|0|0|1|
CUM|BRUNSWICK|1-2|1|24|50|3|0|0|0|0|0|0|0|0|
CUM|BRUNSWICK|1-2|1|24|51|3|0|0|1|0|0|0|0|1|
CUM|BRUNSWICK|2-1|1|24|49|3|0|0|0|0|0|0|0|0|
CUM|BRUNSWICK|2-1|1|24|50|3|0|0|0|0|0|0|0|0|
CUM|BRUNSWICK|2-2|1|24|50|3|0|0|1|3|0|0|0|4|
CUM|BRUNSWICK|3-1|1|24|49|3|0|0|0|0|0|0|0|0|
CUM|BRUNSWICK|3-2|1|24|49|3|0|0|0|0|0|0|0|0|
CUM|BRUNSWICK|4-1|1|24|49|3|0|0|0|0|0|0|0|0|
CUM|BRUNSWICK|4-2|1|24|49|3|0|0|0|0|0|0|0|0|
CUM|BRUNSWICK|5-1|1|24|50|3|0|0|0|0|0|0|0|0|
CUM|BRUNSWICK|5-2|1|24|50|3|1|0|1|0|0|0|0|2|
CUM|BRUNSWICK|6-1|1|24|49|3|0|0|0|0|0|0|0|0|
CUM|BRUNSWICK|6-1|1|24|50|3|0|0|0|0|0|0|0|0|
CUM|BRUNSWICK|6-2|1|24|49|3|5|0|3|5|0|0|0|13|
CUM|BRUNSWICK|6-2|1|24|50|3|2|0|0|0|0|0|0|2|
CUM|BRUNSWICK|7-1|1|24|49|3|0|0|0|0|0|0|0|0|
CUM|BRUNSWICK|7-1|1|24|50|3|0|0|0|0|0|0|0|0|
CUM|BRUNSWICK|7-2|1|24|49|3|0|0|0|0|0|0|0|0|
CUM|BRUNSWICK|7-2|1|24|50|3|3|0|0|0|0|0|0|3|
CUM|CAPE ELIZABETH|1-1|1|29|30|4|1|0|2|1|0|0|0|4|
CUM|CAPE ELIZABETH|1-1|1|29|32|4|0|0|0|0|0|0|0|0|
CUM|CASCO|1-1|1|26|66|2|0|0|0|0|0|0|0|0|
CUM|CASCO|1-1|1|26|67|2|0|0|0|0|0|0|0|0|
CUM|CHEBEAGUE ISLAND|1-1|1|25|47|3|0|0|0|0|0|0|0|0|
CUM|CUMBERLAND|1-1|1|25|45|3|0|0|0|0|0|0|0|0|
CUM|FALMOUTH|1-1|1|25|43|2|2|0|2|10|0|0|0|14|
CUM|FALMOUTH|1-1|1|25|44|2|14|0|8|26|0|0|0|48|
CUM|FREEPORT|1-1|1|24|48|3|0|0|0|1|0|0|0|1|
CUM|FREEPORT|2-1|1|24|48|3|0|0|0|0|0|0|0|0|
CUM|FREEPORT|3-1|1|24|48|3|0|0|1|0|0|0|0|1|
CUM|FREEPORT|4-1|1|24|48|3|1|0|3|1|0|0|0|5|
CUM|FRYE ISLAND|1-1|1|26|67|2|0|0|0|0|0|0|0|0|
CUM|GORHAM|1-1|1|30|27|1|1|0|1|0|0|0|0|2|
CUM|GORHAM|1-2|1|30|27|1|0|0|0|0|0|0|0|0|
CUM|GORHAM|2-1|1|30|26|1|0|0|0|0|0|0|0|0|
CUM|GRAY|1-1|1|25|45|2|0|0|0|0|0|0|0|0|
CUM|GRAY|1-1|1|25|67|2|1|0|0|2|0|0|0|3|
CUM|HARPSWELL|1-1|1|24|51|3|7|3|5|6|0|0|0|21|
CUM|HARPSWELL|2-1|1|24|51|3|9|2|4|10|0|0|0|25|
CUM|HARPSWELL|3-1|1|24|51|3|9|1|5|13|0|0|0|28|
CUM|HARRISON|1-1|1|19|69|2|0|0|0|0|0|0|0|0|
CUM|LONG ISLAND|1-1|1|25|47|3|1|1|2|5|0|0|0|9|
CUM|NAPLES|1-1|1|19|68|2|0|0|0|0|0|0|0|0|
CUM|NEW GLOUCESTER|1-1|1|20|65|2|5|0|1|4|0|0|0|10|
CUM|NORTH YARMOUTH|1-1|1|24|46|3|0|0|0|0|0|0|0|0|
CUM|PORTLAND|1-1|1|27|39|5|0|0|0|1|0|0|0|1|
CUM|PORTLAND|1-2|1|27|38|5|0|0|0|0|0|0|0|0|
CUM|PORTLAND|1-2|1|27|39|5|1|0|0|0|0|0|0|1|
CUM|PORTLAND|1-2|1|27|40|5|0|0|0|0|0|0|0|0|
CUM|PORTLAND|1-3|1|27|39|5|0|0|0|0|0|0|0|0|
CUM|PORTLAND|1-45|1|27|39|5|0|0|0|0|0|0|0|0|
CUM|PORTLAND|2-1|1|27|38|5|1|0|0|0|0|0|0|1|
CUM|PORTLAND|2-2|1|27|38|5|0|0|0|0|0|0|0|0|
CUM|PORTLAND|2-2|1|27|40|5|0|0|0|0|0|0|0|0|
CUM|PORTLAND|3-1|1|27|37|5|0|0|0|0|0|0|0|0|
CUM|PORTLAND|3-1|1|27|40|5|0|0|0|0|0|0|0|0|
CUM|PORTLAND|3-1|1|27|41|5|0|0|0|0|0|0|0|0|
CUM|PORTLAND|3-1|1|27|42|5|0|0|0|0|0|0|0|0|
CUM|PORTLAND|3-1|1|28|36|5|0|0|0|0|0|0|0|0|
CUM|PORTLAND|3-1|1|28|37|5|1|0|0|1|0|0|0|2|
CUM|PORTLAND|3-1|1|28|41|5|0|0|0|0|0|0|0|0|
CUM|PORTLAND|3-2|1|28|37|5|0|0|0|0|0|0|0|0|
CUM|PORTLAND|3-2|1|28|41|5|0|0|0|0|0|0|0|0|
CUM|PORTLAND|4-1|1|27|36|5|0|0|0|0|0|0|0|0|
CUM|PORTLAND|4-1|1|27|42|5|0|0|0|0|0|0|0|0|
CUM|PORTLAND|4-1|1|28|36|5|0|0|0|0|0|0|0|0|
CUM|PORTLAND|4-1|1|28|41|5|0|0|0|0|0|0|0|0|
CUM|PORTLAND|4-2|1|27|36|4|1|0|0|0|0|0|0|1|
CUM|PORTLAND|4-2|1|27|36|5|0|0|0|0|0|0|0|0|
CUM|PORTLAND|4-2|1|27|42|4|0|0|0|0|0|0|0|0|
CUM|PORTLAND|4-2|1|27|42|5|1|0|1|1|0|0|0|3|
CUM|PORTLAND|4-2|1|27|43|4|0|0|0|0|0|0|0|0|
CUM|PORTLAND|4-2|1|28|36|5|1|0|2|0|0|0|0|3|
CUM|PORTLAND|5-1|1|28|36|5|0|0|0|0|0|0|0|0|
CUM|PORTLAND|5-1|1|28|37|5|0|0|0|0|0|0|0|0|
CUM|PORTLAND|5-1|1|28|41|5|0|0|0|0|0|0|0|0|
CUM|PORTLAND|5-2|1|28|36|4|0|0|0|0|0|0|0|0|
CUM|PORTLAND|5-2|1|28|36|5|0|0|0|0|0|0|0|0|
CUM|PORTLAND|5-2|1|28|43|4|0|0|0|0|0|0|0|0|
CUM|POWNAL|1-1|1|24|46|3|0|0|0|0|0|0|0|0|
CUM|POWNAL|1-1|1|24|48|3|0|0|0|0|0|0|0|0|
CUM|RAYMOND|1-1|1|26|66|2|3|1|1|3|0|0|0|8|
CUM|RAYMOND|1-1|1|26|67|2|0|0|1|3|0|0|0|4|
CUM|SCARBOROUGH|1-1|1|29|28|1|0|0|0|0|0|0|0|0|
CUM|SCARBOROUGH|1-1|1|29|29|1|1|0|0|1|0|0|0|2|
CUM|SCARBOROUGH|1-1|1|30|27|1|0|0|0|0|0|0|0|0|
CUM|SCARBOROUGH|1-1|1|30|28|1|0|0|0|1|0|0|0|1|
CUM|SCARBOROUGH|1-1|1|30|29|1|0|0|1|0|0|0|0|1|
CUM|SEBAGO|1-1|1|19|68|1|0|0|0|0|0|0|0|0|
CUM|SOUTH PORTLAND|1-1|1|29|31|4|8|1|5|2|0|0|0|16|
CUM|SOUTH PORTLAND|2-1|1|29|31|4|18|4|5|17|0|0|0|44|
CUM|SOUTH PORTLAND|2-1|1|29|32|4|2|0|1|3|0|0|0|6|
CUM|SOUTH PORTLAND|3-1|1|29|32|4|1|0|0|2|0|0|0|3|
CUM|SOUTH PORTLAND|3-1|1|29|33|4|0|0|0|0|0|0|0|0|
CUM|SOUTH PORTLAND|4-1|1|29|32|4|0|0|0|1|0|0|0|1|
CUM|SOUTH PORTLAND|4-1|1|29|33|4|10|2|7|10|0|0|0|29|
CUM|SOUTH PORTLAND|5-1|1|29|33|4|0|0|0|1|0|0|0|1|
CUM|STANDISH|1-1|1|26|22|1|0|0|0|0|0|0|0|0|
CUM|STANDISH|1-1|1|26|23|1|0|0|0|0|0|0|0|0|
CUM|WESTBROOK|1-1|1|25|35|4|3|0|2|3|0|0|0|8|
CUM|WESTBROOK|1-1|1|28|34|4|4|0|2|7|0|0|0|13|
CUM|WESTBROOK|1-1|1|28|35|4|0|0|0|3|0|0|0|3|
CUM|WESTBROOK|2-1|1|28|34|4|3|0|3|14|0|2|0|22|
CUM|WESTBROOK|3-1|1|28|34|4|7|0|2|14|0|0|0|23|
CUM|WESTBROOK|4-1|1|25|35|4|1|1|0|0|0|0|0|2|
CUM|WESTBROOK|4-1|1|28|35|4|10|0|3|10|0|1|0|24|
CUM|WESTBROOK|5-1|1|25|35|4|2|0|0|2|0|0|0|4|
CUM|WESTBROOK|5-1|1|28|35|4|0|0|1|0|0|0|0|1|
CUM|WINDHAM|1-1|1|26|24|2|0|0|0|0|0|0|0|0|
CUM|WINDHAM|1-1|1|26|25|2|0|0|0|0|0|0|0|0|
CUM|YARMOUTH|1-1|1|25|47|3|1|0|0|0|0|0|0|1|
FRA|AVON|1-1|2|17|112|3|0|0|0|0|0|0|0|0|
FRA|CARRABASSETT VALLEY|1-1|2|17|112|3|0|0|0|0|0|0|0|0|
FRA|CARTHAGE|1-1|2|17|112|1|0|0|0|0|0|0|0|0|
FRA|CHESTERVILLE|1-1|2|17|114|2|0|0|0|0|0|0|0|0|
FRA|COPLIN PLT|1-1|2|17|117|3|0|0|0|0|0|0|0|0|
FRA|DALLAS PLT|1-1|2|17|117|3|0|0|0|0|0|0|0|0|
FRA|EUSTIS|1-1|2|17|117|3|0|0|0|0|0|0|0|0|
FRA|FARMINGTON|1-1|2|17|113|2|0|0|0|0|0|0|0|0|
FRA|INDUSTRY|1-1|2|17|114|3|5|1|12|16|0|0|0|34|
FRA|JAY|1-1|2|17|74|1|0|0|0|0|0|0|0|0|
FRA|KINGFIELD|1-1|2|17|112|3|1|1|12|21|0|0|0|35|
FRA|NEW SHARON|1-1|2|17|113|2|0|0|0|0|0|0|0|0|
FRA|NEW VINEYARD|1-1|2|17|114|3|0|0|0|0|0|0|0|0|
FRA|PHILLIPS|1-1|2|17|112|3|1|0|0|0|0|0|0|1|
FRA|RANGELEY|1-1|2|17|117|3|0|0|0|0|0|0|0|0|
FRA|RANGELEY PLT|1-1|2|17|117|3|0|0|0|0|0|0|0|0|
FRA|SANDY RIVER PLT|1-1|2|17|112|3|1|0|1|6|0|0|0|8|
FRA|STRONG|1-1|2|17|114|3|1|0|0|0|0|0|0|1|
FRA|TEMPLE|1-1|2|17|114|1|0|0|0|0|0|0|0|0|
FRA|WELD|1-1|2|17|112|3|2|0|2|4|0|0|0|8|
FRA|WILTON|1-1|2|17|114|1|0|0|0|0|0|0|0|0|
HAN|AMHERST|1-1|2|7|137|1|0|0|0|0|0|0|0|0|
HAN|AURORA|1-1|2|7|137|1|0|0|0|0|0|0|0|0|
HAN|BAR HARBOR|1-1|2|7|135|3|4|1|3|4|0|0|0|12|
HAN|BLUE HILL|1-1|2|7|133|1|0|0|0|0|0|0|0|0|
HAN|BROOKLIN|1-1|2|7|133|2|2|1|0|5|0|0|0|8|
HAN|BROOKSVILLE|1-1|2|7|133|2|0|0|0|0|0|0|0|0|
HAN|BUCKSPORT|1-1|2|8|130|2|0|0|1|0|0|0|0|1|
HAN|CASTINE|1-1|2|8|133|2|0|0|0|0|0|0|0|0|
HAN|CRANBERRY ISLES|1-1|2|7|134|3|0|0|0|0|0|0|0|0|
HAN|CRANBERRY ISLES|2-1|2|7|134|3|0|0|0|0|0|0|0|0|
HAN|DEDHAM|1-1|2|8|131|2|0|0|0|0|0|0|0|0|
HAN|DEER ISLE|1-1|2|7|134|2|0|0|0|0|0|0|0|0|
HAN|EASTBROOK|1-1|2|7|137|1|1|0|0|2|0|0|0|3|
HAN|ELLSWORTH|1-1|2|7|132|1|0|0|0|2|0|0|0|2|
HAN|ELLSWORTH|2-1|2|7|132|1|0|0|1|0|0|0|0|1|
HAN|ELLSWORTH|3-1|2|7|132|1|0|0|0|0|0|0|0|0|
HAN|ELLSWORTH|4-1|2|7|132|1|0|0|0|0|0|0|0|0|
HAN|FRANKLIN|1-1|2|7|137|3|0|0|0|0|0|0|0|0|
HAN|FRENCHBORO|1-1|2|7|134|3|0|0|0|0|0|0|0|0|
HAN|GOULDSBORO|1-1|2|6|136|1|1|0|0|0|0|0|0|1|
HAN|GREAT POND|1-1|2|8|137|1|2|0|1|0|0|0|0|3|
HAN|HANCOCK|1-1|2|7|136|3|0|0|0|2|0|0|0|2|
HAN|LAMOINE|1-1|2|7|135|3|0|0|0|0|0|0|0|0|
HAN|MARIAVILLE|1-1|2|7|136|1|0|0|0|0|0|0|0|0|
HAN|MOUNT DESERT|1-1|2|7|135|3|1|0|0|0|0|0|0|1|
HAN|MOUNT DESERT|1-2|2|7|135|3|0|0|0|1|0|0|0|1|
HAN|ORLAND|1-1|2|8|131|2|0|0|0|0|0|0|0|0|
HAN|OSBORN|1-1|2|7|136|1|1|2|5|1|0|0|0|9|
HAN|OTIS|1-1|2|7|131|1|0|0|4|4|0|0|0|8|
HAN|PENOBSCOT|1-1|2|8|131|2|0|0|0|0|0|0|0|0|
HAN|SEDGWICK|1-1|2|7|133|2|0|0|0|0|0|0|0|0|
HAN|SORRENTO|1-1|2|7|136|1|0|0|0|0|0|0|0|0|
HAN|SOUTHWEST HARBOR|1-1|2|7|134|3|0|0|0|0|0|0|0|0|
HAN|STONINGTON|1-1|2|7|134|2|0|0|0|1|0|0|0|1|
HAN|SULLIVAN|1-1|2|6|136|1|0|0|0|0|0|0|0|0|
HAN|SURRY|1-1|2|7|133|1|0|0|0|0|0|0|0|0|
HAN|SWANS ISLAND|1-1|2|7|134|3|3|1|3|2|0|0|0|9|
HAN|TREMONT|1-1|2|7|134|3|6|3|6|10|0|0|0|25|
HAN|TRENTON|1-1|2|7|132|3|0|0|0|1|0|0|0|1|
HAN|VERONA ISLAND|1-1|2|8|131|2|0|0|0|0|0|0|0|0|
HAN|WALTHAM|1-1|2|7|136|1|0|0|0|0|0|0|0|0|
HAN|WINTER HARBOR|1-1|2|6|136|1|0|0|0|0|0|0|0|0|
KEN|ALBION|1-1|2|16|79|3|0|0|0|0|0|0|0|0|
KEN|AUGUSTA|1-1|1|15|85|1|0|0|0|1|0|0|0|1|
KEN|AUGUSTA|1-1|1|15|86|1|0|0|1|0|0|0|0|1|
KEN|AUGUSTA|2-1|1|15|85|1|1|0|0|2|0|0|0|3|
KEN|AUGUSTA|3-1|1|15|86|1|1|0|3|1|0|0|0|5|
KEN|AUGUSTA|4-1|1|15|80|1|0|0|0|0|0|0|0|0|
KEN|AUGUSTA|4-1|1|15|85|1|0|0|0|0|0|0|0|0|
KEN|BELGRADE|1-1|2|17|76|3|0|0|0|0|0|0|0|0|
KEN|BENTON|1-1|2|16|78|3|0|0|1|0|0|0|0|1|
KEN|BENTON|1-1|2|16|79|3|0|1|1|0|0|0|0|2|
KEN|CHELSEA|1-1|1|14|88|1|0|0|0|0|0|0|0|0|
KEN|CHINA|1-1|1|15|79|1|1|3|5|12|0|0|0|21|
KEN|CLINTON|1-1|2|16|106|3|1|0|0|0|0|0|0|1|
KEN|FARMINGDALE|1-1|1|14|83|2|6|0|7|12|0|0|0|25|
KEN|FAYETTE|1-1|2|17|76|2|0|0|0|0|0|0|0|0|
KEN|GARDINER|1-1|2|14|83|2|0|0|0|0|0|0|0|0|
KEN|GARDINER|2-1|2|14|83|2|0|0|0|0|0|0|0|0|
